Date,Time,Open,High,Low,Close,Volume
09/04/2016,17:00,1.11526,1.11533,1.1152,1.1153,0
09/11/2016,17:00,1.12344,1.12344,1.12304,1.12344,0
09/18/2016,17:00,1.11502,1.11524,1.11502,1.11521,0
09/25/2016,17:00,1.12274,1.12291,1.12274,1.12291,0
10/02/2016,17:00,1.12283,1.12283,1.12275,1.12275,0
10/09/2016,17:00,1.11772,1.11843,1.11772,1.11843,0
10/16/2016,17:00,1.09665,1.09693,1.09665,1.09685,0
10/23/2016,17:00,1.08794,1.08816,1.08794,1.08811,0
10/30/2016,17:00,1.09892,1.09906,1.09891,1.09901,0
11/06/2016,17:00,1.10582,1.1064,1.10582,1.10614,0
11/13/2016,17:00,1.08533,1.08562,1.08533,1.08562,0
11/20/2016,17:00,1.05911,1.05923,1.05911,1.05922,0
11/27/2016,17:00,1.06083,1.06099,1.06074,1.06099,0
12/04/2016,17:00,1.06633,1.06633,1.06249,1.06265,0
12/11/2016,17:00,1.05294,1.0532,1.05294,1.05319,0
12/18/2016,17:00,1.04389,1.0439,1.04389,1.04389,0
12/25/2016,17:00,1.04549,1.04549,1.0452,1.0452,0
01/01/2017,17:00,1.05278,1.05278,1.05204,1.05224,0
01/08/2017,17:00,1.05284,1.05291,1.05284,1.05291,0
01/15/2017,17:00,1.06047,1.06079,1.06047,1.06072,0
01/22/2017,17:00,1.07004,1.07018,1.07004,1.07018,0
01/29/2017,17:00,1.07204,1.07204,1.07168,1.07168,0
02/05/2017,17:00,1.07869,1.07891,1.07849,1.07857,0
02/12/2017,17:00,1.06263,1.06274,1.06263,1.06274,0
02/19/2017,17:00,1.06056,1.06063,1.06056,1.06063,0
02/26/2017,17:00,1.05609,1.05631,1.05609,1.05631,0
03/05/2017,17:00,1.06067,1.06079,1.06062,1.06079,0
03/12/2017,17:00,1.06759,1.06759,1.06755,1.06758,0
03/19/2017,17:00,1.07314,1.0733,1.07314,1.0733,0
03/26/2017,17:00,1.0836,1.08378,1.08299,1.08314,0
04/02/2017,17:00,1.06611,1.06611,1.06606,1.06606,0
04/09/2017,17:00,1.05855,1.05871,1.05855,1.05871,0
04/16/2017,17:00,1.06149,1.06155,1.0614,1.06141,0
04/23/2017,17:00,1.09169,1.09181,1.09081,1.09081,0
04/30/2017,17:00,1.09097,1.09102,1.0908,1.09102,0
05/07/2017,17:00,1.10173,1.10198,1.10173,1.10198,0
05/14/2017,17:00,1.09286,1.09311,1.09286,1.09311,0
05/21/2017,17:00,1.11932,1.11957,1.11932,1.11957,0
05/28/2017,17:00,1.11716,1.11716,1.11696,1.11696,0
06/04/2017,17:00,1.12704,1.12711,1.12704,1.1271,0
06/11/2017,17:00,1.12058,1.12069,1.12058,1.12069,0
06/18/2017,17:00,1.12072,1.12072,1.12045,1.12062,0
06/25/2017,17:00,1.11979,1.11979,1.11965,1.11968,0
07/02/2017,17:00,1.14168,1.14187,1.14168,1.14184,0
07/09/2017,17:00,1.13976,1.13977,1.13973,1.13974,0
07/16/2017,17:00,1.14705,1.14713,1.14675,1.14681,0
07/23/2017,17:00,1.1663,1.16632,1.1663,1.1663,0
07/30/2017,17:00,1.17457,1.17469,1.17457,1.17469,0
08/06/2017,17:00,1.17712,1.17729,1.17712,1.17729,0
08/13/2017,17:00,1.18207,1.18233,1.18203,1.18219,0
08/20/2017,17:00,1.17549,1.17549,1.17549,1.17549,0
08/27/2017,17:00,1.19422,1.19431,1.19418,1.19419,0
09/03/2017,17:00,1.18798,1.18835,1.18798,1.18804,0
09/10/2017,17:00,1.20164,1.20164,1.20153,1.20156,0
09/17/2017,17:00,1.19194,1.19223,1.19174,1.19223,0
09/24/2017,17:00,1.1897,1.18985,1.1897,1.18978,0
10/01/2017,17:00,1.17903,1.17912,1.17903,1.17909,0
10/08/2017,17:00,1.17271,1.1731,1.17271,1.17273,0
10/15/2017,17:00,1.18183,1.18199,1.18167,1.18189,0
10/22/2017,17:00,1.17622,1.1767,1.17622,1.17639,0
10/29/2017,17:00,1.16071,1.16076,1.1607,1.1607,0
11/05/2017,17:00,1.16134,1.16137,1.16129,1.1613,0
11/12/2017,17:00,1.16637,1.16638,1.16624,1.16624,0
11/19/2017,17:00,1.17852,1.17859,1.17835,1.17835,0
11/26/2017,17:00,1.19244,1.19258,1.19235,1.19258,0
12/03/2017,17:00,1.18604,1.18616,1.18602,1.18615,0
12/10/2017,17:00,1.17635,1.17668,1.17635,1.17657,0
12/17/2017,17:00,1.17418,1.17423,1.17418,1.17423,0
12/24/2017,17:00,1.18613,1.18613,1.18597,1.18597,0
12/31/2017,17:00,1.19982,1.20074,1.1998,1.20005,0
01/07/2018,17:00,1.2026,1.20264,1.20259,1.20262,0
01/14/2018,17:00,1.21923,1.21924,1.21923,1.21924,0
01/21/2018,17:00,1.22683,1.22703,1.2268,1.22684,0
01/28/2018,17:00,1.24256,1.24256,1.24229,1.24229,0
02/04/2018,17:00,1.24349,1.24375,1.24341,1.24369,0
02/11/2018,17:00,1.22479,1.22479,1.22439,1.22449,0
02/18/2018,17:00,1.24013,1.24016,1.24013,1.24015,0
02/25/2018,17:00,1.22907,1.22922,1.22906,1.22913,0
03/04/2018,17:00,1.23323,1.23323,1.23228,1.23277,0
03/11/2018,17:00,1.2311,1.23111,1.2311,1.2311,0
03/18/2018,17:00,1.22829,1.2283,1.22828,1.22828,0
03/25/2018,17:00,1.23486,1.23496,1.23486,1.23494,0
04/01/2018,17:00,1.23186,1.23207,1.23186,1.23207,0
04/08/2018,17:00,1.22835,1.22835,1.22751,1.22821,0
04/15/2018,17:00,1.23316,1.23316,1.23286,1.23289,0
04/22/2018,17:00,1.22716,1.22718,1.22716,1.22718,0
04/29/2018,17:00,1.21225,1.21267,1.21225,1.21255,0
05/06/2018,17:00,1.19553,1.19553,1.19553,1.19553,0
05/13/2018,17:00,1.19405,1.19405,1.19405,1.19405,0
05/20/2018,17:00,1.17703,1.17704,1.17703,1.17703,0
05/27/2018,17:00,1.16843,1.16851,1.16818,1.16824,0
06/03/2018,17:00,1.16584,1.16589,1.16568,1.16578,0
06/10/2018,17:00,1.17722,1.17724,1.17714,1.17724,0
06/17/2018,17:00,1.15865,1.15877,1.15865,1.15877,0
06/24/2018,17:00,1.16619,1.1662,1.16609,1.1662,0
07/01/2018,17:00,1.1676,1.16835,1.16739,1.16827,0
07/08/2018,17:00,1.17413,1.17413,1.17405,1.17405,0
07/15/2018,17:00,1.16879,1.16898,1.16879,1.16897,0
