Date,Time,Open,High,Low,Close
10/16/2018,17:00,1.15724,1.15724,1.15724,1.15724
10/17/2018,17:00,1.14995,1.15002,1.14994,1.14994
10/18/2018,17:00,1.14516,1.14516,1.14516,1.14516
10/19/2018,17:00,1.15139,1.1514,1.15094,1.15117
10/20/2018,17:00,1.15139,1.1514,1.15094,1.15117
10/21/2018,17:00,1.15139,1.1515,1.15139,1.1515
10/22/2018,17:00,1.1463,1.14632,1.14628,1.14628
10/23/2018,17:00,1.14699,1.147,1.14698,1.14698
10/24/2018,17:00,1.13906,1.13918,1.13906,1.13906
10/25/2018,17:00,1.13735,1.13742,1.13717,1.13724
10/26/2018,17:00,1.14009,1.14016,1.13996,1.13996
10/27/2018,17:00,1.14009,1.14016,1.13996,1.13996
10/28/2018,17:00,1.13908,1.13913,1.13908,1.13913
10/29/2018,17:00,1.13717,1.13717,1.13698,1.13698
10/30/2018,17:00,1.13427,1.13434,1.13421,1.13423
10/31/2018,17:00,1.13106,1.13134,1.13065,1.13066
11/01/2018,17:00,1.14071,1.14071,1.14065,1.14066
11/02/2018,17:00,1.1386,1.13862,1.13844,1.13857
11/03/2018,17:00,1.1386,1.13862,1.13844,1.13857
11/04/2018,17:00,1.13848,1.1386,1.13848,1.13858
11/05/2018,17:00,1.14068,1.14068,1.1406,1.1406
11/06/2018,17:00,1.14254,1.14262,1.14238,1.14261
11/07/2018,17:00,1.14246,1.14251,1.14245,1.14246
11/08/2018,17:00,1.13624,1.13624,1.1362,1.13621
11/09/2018,17:00,1.13339,1.13339,1.13318,1.13329
11/10/2018,17:00,1.13339,1.13339,1.13318,1.13329
11/11/2018,17:00,1.13223,1.13258,1.13223,1.13237
11/12/2018,17:00,1.12173,1.12173,1.12167,1.12167
11/13/2018,17:00,1.12872,1.12875,1.1287,1.1287
11/14/2018,17:00,1.13071,1.13071,1.1305,1.13055
11/15/2018,17:00,1.13253,1.13253,1.13253,1.13253
11/16/2018,17:00,1.1416,1.1416,1.14143,1.14145
11/17/2018,17:00,1.1416,1.1416,1.14143,1.14145
11/18/2018,17:00,1.14116,1.14122,1.14116,1.14122
11/19/2018,17:00,1.14519,1.14519,1.1451,1.14518
11/20/2018,17:00,1.13692,1.13692,1.1362,1.1362
11/21/2018,17:00,1.13808,1.13815,1.13794,1.13794
11/22/2018,17:00,1.14036,1.14036,1.14007,1.14008
11/23/2018,17:00,1.13352,1.13365,1.1335,1.1335
11/24/2018,17:00,1.13352,1.13365,1.1335,1.1335
11/25/2018,17:00,1.13352,1.13365,1.1335,1.1335
11/26/2018,17:00,1.13262,1.13262,1.13261,1.13262
11/27/2018,17:00,1.12903,1.12916,1.12832,1.12875
11/28/2018,17:00,1.13658,1.13687,1.13657,1.13687
11/29/2018,17:00,1.1391,1.1391,1.1391,1.1391
11/30/2018,17:00,1.13178,1.13183,1.13137,1.13148
12/01/2018,17:00,1.13178,1.13183,1.13137,1.13148
12/02/2018,17:00,1.135,1.135,1.13496,1.13496
12/03/2018,17:00,1.13515,1.13515,1.13515,1.13515
12/04/2018,17:00,1.13405,1.13405,1.13405,1.13405
12/05/2018,17:00,1.13433,1.1345,1.13431,1.13431
12/06/2018,17:00,1.13707,1.13715,1.13704,1.13715
12/07/2018,17:00,1.1394,1.1394,1.13762,1.13762
12/08/2018,17:00,1.1394,1.1394,1.13762,1.13762
12/09/2018,17:00,1.13901,1.13906,1.13896,1.13902
12/10/2018,17:00,1.13545,1.13548,1.13545,1.13547
12/11/2018,17:00,1.13144,1.13151,1.13144,1.13151
